legacy_product_id,source_path,target_product_id,target_path,legacy_index,target_variant_sku,target_external_parent_sku,target_external_source,decision,approved,decision_reason
3137,/taboret-toaletowy-pod-prysznic-at01004-id-3137,11350,/products/taboret-toaletowy-pod-prysznic-at01004,AT01004,AT01004,AT01004,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3142,/poduszka-ledzwiowa-at03003-id-3142,11229,/products/poduszka-ledzwiowa-at03003,AT03003,AT03003,AT03003,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3143,/poduszka-ledzwiowa-at03004-id-3143,11230,/products/poduszka-ledzwiowa-at03004,AT03004,AT03004,AT03004,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3148,/poduszka-do-siedzenia-at03011-8268-id-3148,11222,/products/poduszka-do-siedzenia-at03011,AT03011,AT03011,AT03011,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3148,/poduszka-do-siedzenia-at03011-id-3148,11222,/products/poduszka-do-siedzenia-at03011,AT03011,AT03011,AT03011,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3149,/poduszka-do-siedzenia-at03012-id-3149,11223,/products/poduszka-do-siedzenia-at03012,AT03012,AT03012,AT03012,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3150,/pas-brzuszny---stomijny-at04603-8270-id-3150,11169,/products/pas-brzuszny-stomijny-at04603,AT04603,AT04603,AT04603,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3150,/pas-brzuszny---stomijny-at04603-id-3150,11169,/products/pas-brzuszny-stomijny-at04603,AT04603,AT04603,AT04603,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3151,/pas-brzuszny-z-pelota-at04604-8277-id-3151,11170,/products/pas-brzuszny-z-pelota-at04604,AT04604,AT04604,AT04604,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3151,/pas-brzuszny-z-pelota-at04604-id-3151,11170,/products/pas-brzuszny-z-pelota-at04604,AT04604,AT04604,AT04604,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
